2025-01-20 17:20:48 - INFO - ✅ Дані для FLM успішно збережено в базу.
2025-01-20 17:20:49 - INFO - ✅ Дані для ICX успішно збережено в базу.
2025-01-20 17:20:49 - INFO - ✅ Дані для HOT успішно збережено в базу.
2025-01-20 17:20:49 - INFO - ✅ Дані для SKL успішно збережено в базу.
2025-01-20 17:20:49 - INFO - ✅ Дані для GTC успішно збережено в базу.
2025-01-20 17:20:49 - INFO - ✅ Дані для MANTA успішно збережено в базу.
2025-01-20 17:20:49 - INFO - ✅ Дані для NEO успішно збережено в базу.
2025-01-20 17:20:50 - INFO - ✅ Дані для WAXP успішно збережено в базу.
2025-01-20 17:20:50 - INFO - ✅ Дані для FLOW успішно збережено в базу.
2025-01-20 17:20:50 - INFO - ✅ Дані для ADA успішно збережено в базу.
2025-01-20 17:20:50 - INFO - ✅ Дані для 1INCH успішно збережено в базу.
2025-01-20 17:20:50 - INFO - ✅ Дані для AXL успішно збережено в базу.
2025-01-20 17:20:51 - INFO - ✅ Дані для ALPHA успішно збережено в базу.
2025-01-20 17:20:51 - INFO - ✅ Дані для ZRX успішно збережено в базу.
2025-01-20 17:20:51 - INFO - ✅ Дані для AXS успішно збережено в базу.
2025-01-20 17:20:51 - INFO - ✅ Дані для ENJ успішно збережено в базу.
2025-01-20 17:20:51 - INFO - ✅ Дані для BAND успішно збережено в базу.
2025-01-20 17:20:52 - INFO - ✅ Дані для AVAX успішно збережено в базу.
2025-01-20 17:20:52 - INFO - ✅ Дані для IDEX успішно збережено в базу.
2025-01-20 17:20:52 - INFO - ✅ Дані для STEEM успішно збережено в базу.
2025-01-20 17:20:52 - INFO - ✅ Дані для OP успішно збережено в базу.
2025-01-20 17:20:52 - INFO - ✅ Дані для BONK успішно збережено в базу.
2025-01-20 17:20:52 - INFO - ✅ Дані для ALICE успішно збережено в базу.
2025-01-20 17:20:53 - INFO - ✅ Дані для GLMR успішно збережено в базу.
2025-01-20 17:20:53 - INFO - ✅ Дані для YGG успішно збережено в базу.
2025-01-20 17:20:53 - INFO - ✅ Дані для LUNC успішно збережено в базу.
2025-01-20 17:20:54 - INFO - ✅ Дані для GRT успішно збережено в базу.
2025-01-20 17:20:54 - INFO - ✅ Дані для LIT успішно збережено в базу.
2025-01-20 17:20:54 - INFO - ✅ Дані для ZEC успішно збережено в базу.
2025-01-20 17:20:54 - INFO - ✅ Дані для CTK успішно збережено в базу.
2025-01-20 17:20:54 - INFO - ✅ Дані для STRK успішно збережено в базу.
2025-01-20 17:20:55 - INFO - ✅ Дані для DYDX успішно збережено в базу.
2025-01-20 17:20:55 - INFO - ✅ Дані для EOS успішно збережено в базу.
2025-01-20 17:20:55 - INFO - ✅ Дані для CAKE успішно збережено в базу.
2025-01-20 17:20:55 - INFO - ✅ Дані для ZEN успішно збережено в базу.
2025-01-20 17:20:55 - INFO - ✅ Дані для DUSK успішно збережено в базу.
2025-01-20 17:20:55 - INFO - ✅ Дані для STORJ успішно збережено в базу.
2025-01-20 17:20:56 - INFO - ✅ Дані для ZIL успішно збережено в базу.
2025-01-20 17:20:56 - INFO - ✅ Дані для SOL успішно збережено в базу.
2025-01-20 17:20:56 - INFO - ✅ Дані для HBAR успішно збережено в базу.
2025-01-20 17:20:56 - INFO - ✅ Дані для HOOK успішно збережено в базу.
2025-01-20 17:20:56 - INFO - ✅ Дані для DASH успішно збережено в базу.
2025-01-20 17:20:57 - INFO - ✅ Дані для BAT успішно збережено в базу.
2025-01-20 17:20:57 - INFO - ✅ Дані для AST успішно збережено в базу.
2025-01-20 17:20:57 - INFO - ✅ Дані для DOT успішно збережено в базу.
2025-01-20 17:20:57 - INFO - ✅ Дані для FTT успішно збережено в базу.
2025-01-20 17:20:57 - INFO - ✅ Дані для RLC успішно збережено в базу.
2025-01-20 17:20:58 - INFO - ✅ Дані для RIF успішно збережено в базу.
2025-01-20 17:20:58 - INFO - ✅ Дані для PORTAL успішно збережено в базу.
2025-01-20 17:20:58 - INFO - ✅ Дані для BEL успішно збережено в базу.
2025-01-20 17:20:58 - INFO - ✅ Дані для BLUR успішно збережено в базу.
2025-01-20 17:20:58 - INFO - ✅ Дані для KNC успішно збережено в базу.
2025-01-20 17:20:58 - INFO - ✅ Дані для KSM успішно збережено в базу.
2025-01-20 17:20:59 - INFO - ✅ Дані для RSR успішно збережено в базу.
2025-01-20 17:20:59 - INFO - ✅ Дані для VANRY успішно збережено в базу.
2025-01-20 17:20:59 - INFO - ✅ Дані для BICO успішно збережено в базу.
2025-01-20 17:20:59 - INFO - ✅ Дані для APT успішно збережено в базу.
2025-01-20 17:20:59 - INFO - ✅ Дані для NFP успішно збережено в базу.
2025-01-20 17:20:59 - INFO - ✅ Дані для AGLD успішно збережено в базу.
2025-01-20 17:21:00 - INFO - ✅ Дані для DGB успішно збережено в базу.
2025-01-20 17:21:00 - INFO - ✅ Дані для XAI успішно збережено в базу.
2025-01-20 17:21:00 - INFO - ✅ Дані для SUPER успішно збережено в базу.
2025-01-20 17:21:00 - INFO - ✅ Дані для COMBO успішно збережено в базу.
